41269321,"Bubendorf","POINT(861784.023588981 6017417.88755304)","Bubendorf","pt"
41269449,"Talhaus","POINT(862705.114451652 6016076.06881176)","Talhaus","pt"
41270278,"Hölstein","POINT(865082.865379149 6012105.74847547)","Hölstein","pt"
41270486,"Hölstein Süd","POINT(864708.364348222 6011386.82722949)","Hölstein Süd","pt"
41270679,"Hirschlang","POINT(863314.566399847 6009282.79566668)","Hirschlang","pt"
41270803,"Oberdorf BL","POINT(862604.726534855 6006320.11898516)","Oberdorf BL","pt"
41999637,"Gemmipass","POINT(847843.119819028 5844375.56962863)","Gemmipass","po"
42389895,"Muttenz","POINT(851394.241554773 6029632.24993162)","Muttenz","pt"
42435782,NULL,"POINT(1006438.80316032 6017891.0396225)",NULL,"po"
42893767,"Näfels-Mollis, Bahnhof","POINT(1009632.10359819 5958196.73121158)",NULL,"pt"
45775891,"Tunnel","POINT(738541.646636517 5865013.98682954)",NULL,"po"
47039322,"Grünwald","POINT(944340.89567058 6010458.96355768)","Zürich, Grünwald","pt"
48563412,"Gare routière","POINT(684264.546809511 5813819.3211373)",NULL,"po"
52208883,"Vallorbe","POINT(709170.790324924 5895247.5737019)","Vallorbe","pt"
52220985,"Le Day","POINT(712522.675852455 5896044.27816201)","Day, Le","pt"
54754448,"Filzbach, Sportzentrum","POINT(1016161.69304601 5961796.27908544)",NULL,"pt"
54754461,"Filzbach, Römerturm","POINT(1014973.99200289 5961890.55960272)",NULL,"pt"
55275692,"Fischhausen","POINT(1002705.48205451 5977722.96857179)","Kaltbrunn, Fischhausen","pt"
56391466,"Lanzenmoosstrasse","POINT(996330.515379406 5979063.52182836)","Schmerikon, Lanzenmoosstrasse","pt"
56391470,"Lanzenmoosstrasse","POINT(996219.618902677 5979075.99618805)","Schmerikon, Lanzenmoosstrasse","pt"
56879843,"Stein am Rhein","POINT(985686.557551869 6049846.28010868)","Stein am Rhein","pt"
